id,name,family,status,layers,rows,config_status,config_source,revision,gap
kimi-k1,K1,Kimi,资料缺口；未逐层分析,0,1,配置缺失,无公开配置来源,,未找到可直接关联的公开checkpoint配置，不能由底座推定该版本层数
kimi-k1.5,K1.5,Kimi,资料缺口；未逐层分析,0,1,配置缺失,https://arxiv.org/abs/2501.12599,,未找到可直接关联的公开checkpoint配置，不能由底座推定该版本层数
kimi-kimi-audio-7b,Kimi-Audio-7B,Kimi,逐层配置/数学推导；部分模块未知,34,401,固定配置,https://huggingface.co/moonshotai/Kimi-Audio-7B/resolve/d90be7113cd5be6bcf54fae2aabcad060a23f6cf/config.json,d90be7113cd5be6bcf54fae2aabcad060a23f6cf,
kimi-kimi-audio-7b-instruct,Kimi-Audio-7B-Instruct,Kimi,逐层配置/数学推导；部分模块未知,34,401,固定配置,https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json,9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b,
kimi-kimi-dev-72b,Kimi-Dev-72B,Kimi,逐层配置/数学推导；部分模块未知,80,1041,固定配置,https://huggingface.co/moonshotai/Kimi-Dev-72B/resolve/8791d7981945752a51f692d66f2bbfb3573c9722/config.json,8791d7981945752a51f692d66f2bbfb3573c9722,
kimi-kimi-k2-base,Kimi-K2-Base,Kimi,逐层配置/数学推导；部分模块未知,61,1763,固定配置,https://huggingface.co/moonshotai/Kimi-K2-Base/resolve/ce72df012259dcc55d945e890f815fe7ef69159c/config.json,ce72df012259dcc55d945e890f815fe7ef69159c,
kimi-kimi-k2-instruct,Kimi-K2-Instruct,Kimi,逐层源码/权重证据 + 条件接口,61,1763,固定配置,https://huggingface.co/moonshotai/Kimi-K2-Instruct/resolve/fd1984e2b7a3350dbf7305fe73a4ede25c14de50/config.json,fd1984e2b7a3350dbf7305fe73a4ede25c14de50,
kimi-kimi-k2-instruct-0905,Kimi-K2-Instruct-0905,Kimi,逐层源码/权重证据 + 条件接口,61,1763,固定配置,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905/resolve/ac6c49f04883bd0a0598b790693a72061c676629/config.json,ac6c49f04883bd0a0598b790693a72061c676629,
kimi-kimi-k2-thinking,Kimi-K2-Thinking,Kimi,逐层源码/权重证据 + 条件接口,61,1763,固定配置,https://huggingface.co/moonshotai/Kimi-K2-Thinking/resolve/a51ccc050d73dab088bf7b0e2dd9b30ae85a4e55/config.json,a51ccc050d73dab088bf7b0e2dd9b30ae85a4e55,
kimi-kimi-k2.5,Kimi-K2.5,Kimi,逐层源码/权重证据 + 条件接口,88,2070,固定配置,https://huggingface.co/moonshotai/Kimi-K2.5/resolve/4d01dfe0332d63057c186e0b262165819efb6611/config.json,4d01dfe0332d63057c186e0b262165819efb6611,
kimi-kimi-k2.6,Kimi-K2.6,Kimi,逐层源码/权重证据 + 条件接口,88,2070,固定配置,https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json,7eb5002f6aadc958aed6a9177b7ed26bb94011bb,
kimi-kimi-k2.7-code,Kimi-K2.7-Code,Kimi,逐层源码/权重证据 + 条件接口,88,2070,固定配置,https://huggingface.co/moonshotai/Kimi-K2.7-Code/resolve/74797c9c62378b951a1f6fcf5c4631024e9b8bef/config.json,74797c9c62378b951a1f6fcf5c4631024e9b8bef,
kimi-kimi-k3,Kimi-K3,Kimi,逐层源码/权重证据 + 条件接口,120,3716,固定配置,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,f831ab66814297da540d832a5235f8e904f29d06,
kimi-kimi-linear-48b-a3b-base,Kimi-Linear-48B-A3B-Base,Kimi,逐层配置/数学推导；部分模块未知,27,383,固定配置,https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json,3b171c17bfc4ee348599b6781a2ca8715c21c8dc,
kimi-kimi-linear-48b-a3b-instruct,Kimi-Linear-48B-A3B-Instruct,Kimi,逐层配置/数学推导；部分模块未知,27,383,固定配置,https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Instruct/resolve/e1df551a447157d4658b573f9a695d57658590e9/config.json,e1df551a447157d4658b573f9a695d57658590e9,
kimi-kimi-vl-a3b-instruct,Kimi-VL-A3B-Instruct,Kimi,逐层配置/数学推导；部分模块未知,54,674,固定配置,https://huggingface.co/moonshotai/Kimi-VL-A3B-Instruct/resolve/398eede0903cd983a2bfa0cc634e9ac1d843f375/config.json,398eede0903cd983a2bfa0cc634e9ac1d843f375,
