id,severity,original_location,finding,required_correction,final_status,closure_evidence
A01,P1,K3 KDA/MLA 输出投影；`scripts/build_compute_atlas.py` 的 `gpu-linear` 映射及衍生表,列并行映射被套在输出投影上；固定源码实际为 RowParallelLinear,按具体构造函数区分；无证据时留未知,closed,"api-hardware/final-api-hardware-audit.md#AH-04
api-hardware/frozen-artifacts-audit.json"
A02,P1,9 个 MoE down 模板的 Ascend API 及展开行,统一写 apply_gmm1，固定实现的 w2/down 是 apply_gmm2,修正生成器与全部衍生物,closed,"api-hardware/final-api-hardware-audit.md#AH-05
api-hardware/frozen-artifacts-audit.json"
A03,P1,K3 的 10 个 AMD MoE/dispatch/combine 模板,AITER Triton W4A16 类仅接受 SILU/SWIGLUOAI，K3 SiTU 不满足条件,剔除不适用路径；确证可用路径后才填写,closed,"api-hardware/final-api-hardware-audit.md#AH-01
api-hardware/frozen-artifacts-audit.json"
A04,P1,5 个 K3 activation 模板及展开行,SiTU 公式漏 `25*tanh(up/25)` 的 up 变换,gate 与 up 两个 beta 参数均纳入,closed,"api-hardware/final-api-hardware-audit.md#AH-03
api-hardware/frozen-artifacts-audit.json"
A05,P2,`dist/structure.js` Kimi-Audio GQA decoder cache 文案,GQA 落入“非注意力组件不分配语言 KV cache”分支,增加 GQA cache 语义,closed,legacy-site/frozen-recheck.json#L1_audio_gqa_cache
A06,P2,Audio-Instruct、K2-Base、Linear-Instruct、VL-Instruct 配置来源,4 个 URL 仍是 `/resolve/main/`；SHA 固定但引用可变,固定真实 revision 并验证字节一致,closed,"independent-configs/receipts.json
semantic-fix-recheck.json"
A07,P2,SciCore-Omics `gene_config.nlayers=12`,配置中的 12 层 gene 模块未进入展开表,新增有来源的专用层占位/结构；不能假设为普通语言层,closed,"layer-source-reconciliation.json
semantic-fix-recheck.json"
A08,P2,MiniCPM-RobotManip 模型参数 C2/C6/C8 等,`vlm_config.text_config` 有已知文本参数，但摘要全未知,沿正确配置路径填值,closed,"parameter-cells-audit.json
semantic-fix-recheck.json"
A09,P2,MiniCPM-SALA 模型参数 C9,SALA 被模型名条件套入 KDA 的 P=n×D 公式,非 KDA 应不适用；Lightning 如需参数另明示,closed,workbook-controls-audit.json
A10,P2,所有模板模型参数 C7，TP 输入 C20,TP=0 导致 #DIV/0!；TP=1.5 被接受为有效分片,先检查数字、正整数，再除法/求余；加整型输入校验,closed,"formula-boundaries.json
workbook-controls-audit.json"
A11,P2,所有模板模型参数 C3:C4/C4 验证规则,S 的 1..8 规则与 C3:C4 的 1..16 规则在导出 XML 重叠,分别设置 B 和 S 的单独范围,closed,workbook-controls-audit.json
A12,P2,旧 OpenBMB MiniCPM3-4B `head_dim=64` 列,64 是 V 维；QK 实为64+32=96，单列未明示,拆分/明确 QK 与 V 的语义,closed,"legacy-site/frozen-recheck.json#L4_minicpm3_dimensions
legacy-archive-erratum.md"
A13,P2,旧 Audio 三维结构 `/nodes`、`/scope`,只有28主干层，未明示另6 MIMO层不在图内,补明确覆盖说明或独立MIMO组件，不能把主干层数改成34,closed,legacy-site/frozen-recheck.json#L2_audio_scope
A14,P1,K3 MLA `k3-t3.s11`、全部24个展开层及硬件flow,`mla_use_nope=true`却声称旋转并填RoPE API,改NoPE身份路径；仍保留64维共享key与512+64 cache,closed,"api-hardware/final-api-hardware-audit.md#AH-02
api-hardware/frozen-artifacts-audit.json"
A15,P2,K2.5/2.6/2.7/K3全部视觉norm/residual/MLP步骤,普通视觉步骤被统一引到attention_qkvpacked，所引函数不含目标运算,norm/residual引类forward，GELU/MLP引MLP2.forward,closed,"api-hardware/final-api-hardware-audit.md#AH-06
api-hardware/frozen-artifacts-audit.json"
A16,P1,视觉projector步骤及来源,池化来源错指projector；K2.5/2.6/2.7把pre_norm放在tpool之前,依真实tower→tpool→projector.pre_norm顺序；scatter引实际merge函数,closed,"api-hardware/final-api-hardware-audit.md#AH-07
api-hardware/frozen-artifacts-audit.json"
