sheet,cell,row,module,operator,field,original,verified_or_formula,classification,reason,fixed_sources,comparison_status,analysis_location
算子表,A2,2,global,embed_tokens,模块,global,global,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,B2,2,global,embed_tokens,算子列表,embed_tokens,embed_tokens,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,C2,2,global,embed_tokens,npu kernel,nn.Embedding,框架/数学操作：nn.Embedding；NPU kernel未核验,接口层级误分类,框架API不是NPU设备kernel，不能作一对一映射,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,差异,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,D2,2,global,embed_tokens,算子类型,embedding,embedding,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,E2,2,global,embed_tokens,inputshape,"[B,S];[163840,7168]","[B,S];[163840,7168]",TP=1逻辑维度一致,vocab_size=163840、hidden_size=7168；实际词表分片/embedding重复执行未核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,F2,2,global,embed_tokens,output shape,"[B,S,7168]","[B,S,7168]",TP=1逻辑维度一致,vocab_size=163840、hidden_size=7168；实际词表分片/embedding重复执行未核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,G2,2,global,embed_tokens,dim,"B,S","B,S",原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,H2,2,global,embed_tokens,shape范围,"symbolic:B[1, 16],S[1, 8]; fixed:163840,7168",未核验,缺少独立实现证据,原表条目已纳入审计；缺少该运行栈/算子级证据，不能直接判错或照抄为已支持,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,I2,2,global,embed_tokens,input dtype,INT32;BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,J2,2,global,embed_tokens,output dtype,BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,K2,2,global,embed_tokens,input format,ND;ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,L2,2,global,embed_tokens,output format,ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,M2,2,global,embed_tokens,dtype next1,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,N2,2,global,embed_tokens,dtype next2,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,O2,2,global,embed_tokens,next3,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,P2,2,global,embed_tokens,并行资源占用情况,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,Q2,2,global,embed_tokens,duration,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,R2,2,global,embed_tokens,计算利用率,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,S2,2,global,embed_tokens,mte,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,T2,2,global,embed_tokens,scalar,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,U2,2,global,embed_tokens,融合算子分析,(空白),待按实现与性能证据分析,未提供融合分析,不能由空白推定可融合或有性能收益,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,A3,3,layer_0.kda_layer,attention_input_norm,模块,layer_0.kda_layer,layer_0.kda_layer,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
