"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","2048","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","16","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","全局head数"
"n","attention 单rank head num","16","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","MLA见Qn/Qr/V，不能用H/N代替","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","128","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","64","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","非MLA时不适用"
"V","v_head_dim","128","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","非MLA时不适用"
"C","kv_lora_rank","512","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","非MLA时不适用"
