"模块","算子列表","npu kernel","算子类型","inputshape","output shape","dim","shape范围","input dtype","output dtype","input format","output format","dtype next1","dtype next2","next3","并行资源占用情况","duration","计算利用率","mte","scalar","融合算子分析","证据状态","配置来源","权重证据","PyTorch参考或调用","NVIDIA条件路径","AMD条件路径","实现来源","运行条件与缺口","数学关系或推导"
"root/layer_0","input_normalization","未核验","norm","[B,S,4096]","[B,S,4096]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","归一化类型/先后顺序待实现核验"
"root/layer_0","q_projection","未核验","GEMM","[B,S,4096]","[B,S,4096]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","logical [4096,4096]","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；独立逻辑矩阵，不断言实际融合与存储","Y=X@W^T; width=heads*head_dim"
"root/layer_0","k_projection","未核验","GEMM","[B,S,4096]","[B,S,256]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","logical [256,4096]","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；独立逻辑矩阵，不断言实际融合与存储","Y=X@W^T; width=heads*head_dim"
"root/layer_0","v_projection","未核验","GEMM","[B,S,4096]","[B,S,256]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","logical [256,4096]","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；独立逻辑矩阵，不断言实际融合与存储","Y=X@W^T; width=heads*head_dim"
"root/layer_0","position_and_cache","未核验","位置/缓存","Q,K,V projected; B,S","Q:[B,32,S,128]; K,V:[B,2,L_KV,128]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","cache长度L_KV独立；位置编码类型与存储layout未核验"
"root/layer_0","attention","未核验","attention","Q:[B,32,S,128];K,V:[B,2,L_KV,128]","[B,32,S,128]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；稀疏选块/线性分支需按实现，不能据此声称稠密执行或峰值中间内存","softmax(QK^T / sqrt(head_dim) + mask)V（数学参考）"
"root/layer_0","output_projection","未核验","GEMM","[B,S,4096]","[B,S,4096]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","logical [4096,4096]","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","Y=X@W^T"
"root/layer_0","attention_residual","未核验","elementwise","[B,S,4096];[B,S,4096]","[B,S,4096]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","Y=X+branch（参考，实际残差策略未核验）"
"root/layer_0","post_attention_normalization","未核验","norm","[B,S,4096]","[B,S,4096]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","类型与位置待源码核验"
"root/layer_0","FFN_up","未核验","GEMM","[B,S,4096]","[B,S,16384]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","logical [16384,4096]","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；","Y=X@W^T"
"root/layer_0","FFN_activation_and_optional_gate","未核验","activation","[B,S,16384]","[B,S,16384]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","config=bfloat16；激活/累加类型未核验","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","未核验","配置确认 + 数学推导；未核验完整调用链","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","未核验","未核验","未核验","未核验","https://huggingface.co/openbmb/MiniCPM4-8B-Eagle-FRSpec/resolve/1182e40bed9b634529181ac6f19cd225757480f3/config.json","文本decode/verify；B[1,16],S[1,8]；TP=1逻辑参考；是否额外gate矩阵与门控分支维度需要实现；不能仅由silu推定完整SwiGLU","config.hidden_act=silu"
