版本,model_id,组件,层号_1based,层类型,模板,步骤序号,模块,步骤,数学关系,输入shape,逻辑权重shape,打包shape与dtype,输出shape,中间与缓存,阶段,精度,逻辑参数计数_本步骤,权重证据,配置或检查点revision,PyTorch接口,来源标识与链接,边界说明
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,1,norm,输入归一化,RMSNorm: X×rsqrt(mean(X²)+eps)×γ,"[N,7168]",model.layers.0.input_layernorm.weight: 7168,model.layers.0.input_layernorm.weight: 7168 BF16,"[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,7168,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma",e37fe49f1452 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3RMSNorm.forward L103-108 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L103,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,2,attention,q_a_proj,Y=X @ Wᵀ,"[N,7168]","model.layers.0.self_attn.q_a_proj.weight_scale_inv: metadata
model.layers.0.self_attn.q_a_proj.weight: 1536x7168","model.layers.0.self_attn.q_a_proj.weight_scale_inv: 12x56 F32
model.layers.0.self_attn.q_a_proj.weight: 1536x7168 F8_E4M3","[N,1536]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,11010048,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,3,attention,q_a_layernorm,RMSNorm: X×rsqrt(mean(X²)+eps)×γ,"[N,1536]",model.layers.0.self_attn.q_a_layernorm.weight: 1536,model.layers.0.self_attn.q_a_layernorm.weight: 1536 BF16,"[N,1536]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,1536,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma",e37fe49f1452 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3RMSNorm.forward L103-108 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L103,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,4,attention,q_b_proj,Y=X @ Wᵀ,"[N,1536]","model.layers.0.self_attn.q_b_proj.weight_scale_inv: metadata
model.layers.0.self_attn.q_b_proj.weight: 12288x1536","model.layers.0.self_attn.q_b_proj.weight_scale_inv: 96x12 F32
model.layers.0.self_attn.q_b_proj.weight: 12288x1536 F8_E4M3","[N,12288]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,18874368,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,5,attention,KV压缩投影,Y=X @ Wᵀ,"[N,7168]","model.layers.0.self_attn.kv_a_proj_with_mqa.weight_scale_inv: metadata
model.layers.0.self_attn.kv_a_proj_with_mqa.weight: 576x7168","model.layers.0.self_attn.kv_a_proj_with_mqa.weight_scale_inv: 5x56 F32
model.layers.0.self_attn.kv_a_proj_with_mqa.weight: 576x7168 F8_E4M3","[N,576]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,4128768,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,6,attention,拆分KV潜变量与旋转键,"split([kv_rank512,rope_dim64])","[N,576]",,,"KV_c:[N,512]; Krope:[N,64]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,DeepseekV3Attention.forward（函数上下文，不是本步骤的有序调用链）,c5baa6bc5b14 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward L751-857 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L751,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,7,attention,kv_a_layernorm,RMSNorm: X×rsqrt(mean(X²)+eps)×γ,"[N,512]",model.layers.0.self_attn.kv_a_layernorm.weight: 512,model.layers.0.self_attn.kv_a_layernorm.weight: 512 BF16,"[N,512]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,512,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma",e37fe49f1452 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3RMSNorm.forward L103-108 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L103,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,8,attention,kv_b_proj,Y=X @ Wᵀ,"[N,512]","model.layers.0.self_attn.kv_b_proj.weight_scale_inv: metadata
model.layers.0.self_attn.kv_b_proj.weight: 16384x512","model.layers.0.self_attn.kv_b_proj.weight_scale_inv: 128x4 F32
model.layers.0.self_attn.kv_b_proj.weight: 16384x512 F8_E4M3","[N,16384]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,8388608,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,9,attention,拆分Q/K/V与布局变换,view/transpose/split；Krope在head维广播，不新增权重,"Q:[N,12288]; KV:[N,16384]; Krope:[N,64]",,,"Q/K:[B,64,T,192]; V:[B,64,T,128]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,DeepseekV3Attention.forward（函数上下文，不是本步骤的有序调用链）,c5baa6bc5b14 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward L751-857 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L751,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,10,attention,RoPE / 位置处理,K2参考调用apply_rotary_pos_emb；K3所读参考forward未直接调用RoPE，生产MLA wrapper中有rotary_emb,"Qrope:[B,64,T,64]; Krope:[B,1,T,64]",model.layers.0.self_attn.rotary_emb.inv_freq: metadata,model.layers.0.self_attn.rotary_emb.inv_freq: 56 BF16,旋转后的同shape,无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,apply_rotary_pos_emb（函数上下文，不是本步骤的有序调用链）,260cc1915f9b moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::apply_rotary_pos_emb L339-371 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L339,历史inv_freq缓冲的存储长度不作为runtime旋转维度；runtime依赖config和重建/加载路径。
